Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Sales,Profit
ORD-1001,1/15/2024,CUST-101,PROD-201,3,75,22.5
ORD-1002,1/18/2024,CUST-102,PROD-202,1,250,50
ORD-1003,1/22/2024,CUST-103,PROD-203,1,450,135
ORD-1004,1/25/2024,CUST-104,PROD-204,2,120,36
ORD-1005,2/2/2024,CUST-105,PROD-205,1,110,33
ORD-1006,2/5/2024,CUST-106,PROD-206,5,45,13.5
ORD-1007,2/10/2024,CUST-107,PROD-207,1,320,80
ORD-1008,2/14/2024,CUST-108,PROD-208,1,550,110
ORD-1009,2/18/2024,CUST-109,PROD-209,4,24,7.2
ORD-1010,2/22/2024,CUST-110,PROD-210,1,220,55
ORD-1011,3/1/2024,CUST-101,PROD-211,2,45,13.5
ORD-1012,3/5/2024,CUST-111,PROD-212,2,180,36
ORD-1013,3/8/2024,CUST-102,PROD-213,1,85,21.25
ORD-1014,3/12/2024,CUST-112,PROD-214,1,160,32
ORD-1015,3/15/2024,CUST-104,PROD-215,1,130,39
ORD-1016,3/19/2024,CUST-103,PROD-201,2,50,15
ORD-1017,3/22/2024,CUST-113,PROD-202,1,190,38
ORD-1018,3/28/2024,CUST-110,PROD-216,2,30,9
ORD-1019,4/2/2024,CUST-107,PROD-205,1,110,33
ORD-1020,4/5/2024,CUST-114,PROD-204,3,180,54
ORD-1021,4/10/2024,CUST-105,PROD-203,2,900,270
ORD-1022,4/12/2024,CUST-106,PROD-206,3,27,8.1
ORD-1023,4/18/2024,CUST-108,PROD-207,2,640,160
ORD-1024,4/22/2024,CUST-109,PROD-211,3,67.5,20.25
ORD-1025,4/25/2024,CUST-110,PROD-208,1,550,110
ORD-1026,5/1/2024,CUST-111,PROD-214,2,320,64
ORD-1027,5/4/2024,CUST-101,PROD-210,2,440,110
ORD-1028,5/8/2024,CUST-102,PROD-215,2,260,78
ORD-1029,5/12/2024,CUST-112,PROD-212,3,270,54
ORD-1030,5/15/2024,CUST-104,PROD-201,1,25,7.5
ORD-1031,5/19/2024,CUST-103,PROD-209,3,18,5.4
ORD-1032,5/22/2024,CUST-114,PROD-211,2,45,13.5
ORD-1033,5/28/2024,CUST-113,PROD-202,1,250,50
ORD-1034,6/2/2024,CUST-107,PROD-207,1,320,80
