Product_ID,Product_Name,Category,Unit_Price
PROD-201,Wireless Mouse,Electronics,25
PROD-202,Ergonomic Chair,Furniture,250
PROD-203,Executive Desk,Furniture,450
PROD-204,Bluetooth Speaker,Electronics,60
PROD-205,Mechanical Keyboard,Technology,110
PROD-206,Paper Reams (10Pk),Office Supplies,9
PROD-207,27-Inch Monitor,Electronics,320
PROD-208,Standing Desk,Furniture,550
PROD-209,Gel Pens (24Pk),Office Supplies,6
PROD-210,Noise-Canceling Headphones,Electronics,220
PROD-211,Usb-C Hub,Technology,22.5
PROD-212,Bookshelf,Furniture,90
PROD-213,Webcam 1080P,Electronics,85
PROD-214,Filing Cabinet,Office Supplies,160
PROD-215,Portable Ssd 1Tb,Technology,130
PROD-216,Desk Organizer,Office Supplies,15
