Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Sales,Profit
ORD-1001,2024-01-15,CUST-101,PROD-201,3,75.00,22.50
ORD-1002,2024-01-18,CUST-102,PROD-202,1,250.00,50.00
ORD-1003,2024-01-22,CUST-103,PROD-203,1,450.00,135.00
ORD-1004,2024-01-25,CUST-104,PROD-204,2,120.00,36.00
ORD-1005,2024-02-02,CUST-105,PROD-205,1,110.00,33.00
ORD-1006,2024-02-05,CUST-106,PROD-206,5,45.00,13.50
ORD-1007,02/10/2024,CUST-107,PROD-207,1,320.00,80.00
ORD-1008,2024-02-14,CUST-108,PROD-208,1,550.00,110.00
ORD-1009,2024-02-18,CUST-109,PROD-209,4,24.00,7.20
ORD-1010,2024-02-22,CUST-110,PROD-210,1,220.00,55.00
ORD-1011,2024-03-01,CUST-101,PROD-211,2,45.00,13.50
ORD-1012,2024-03-05,CUST-111,PROD-212,2,180.00,36.00
ORD-1013,2024-03-08,CUST-102,PROD-213,1,85.00,21.25
ORD-1014,03/12/2024,CUST-112,PROD-214,1,160.00,32.00
ORD-1015,2024-03-15,CUST-104,PROD-215,1,130.00,39.00
ORD-1016,2024-03-19,CUST-103,PROD-201,2,50.00,15.00
ORD-1017,2024-03-22,CUST-113,PROD-202,1,190.00,38.00
ORD-1018,2024-03-28,CUST-110,PROD-216,2,30.00,9.00
ORD-1019,2024-04-02,CUST-107,PROD-205,1,110.00,33.00
ORD-1020,2024-04-05,CUST-114,PROD-204,3,180.00,54.00
ORD-1021,2024-04-10,CUST-105,PROD-203,2,900.00,270.00
ORD-1022,2024-04-12,CUST-106,PROD-206,3,27.00,8.10
ORD-1023,2024-04-18,CUST-108,PROD-207,2,640.00,160.00
ORD-1024,2024-04-22,CUST-109,PROD-211,3,67.50,20.25
ORD-1025,2024-04-25,CUST-110,PROD-208,1,550.00,110.00
ORD-1026,2024-05-01,CUST-111,PROD-214,2,320.00,64.00
ORD-1027,2024-05-04,CUST-101,PROD-210,2,440.00,110.00
ORD-1028,2024-05-08,CUST-102,PROD-215,2,260.00,78.00
ORD-1029,2024-05-12,CUST-112,PROD-212,3,270.00,54.00
ORD-1030,2024-05-15,CUST-104,PROD-201,1,25.00,7.50
ORD-1031,2024-05-19,CUST-103,PROD-209,3,18.00,5.40
ORD-1032,2024-05-22,CUST-114,PROD-211,2,45.00,13.50
ORD-1033,2024-05-28,CUST-113,PROD-202,1,250.00,50.00
ORD-1005,2024-02-02,CUST-105,PROD-205,1,110.00,33.00
ORD-1034,2024-06-02,CUST-107,PROD-207,1,320.00,80.00
