Product_ID,Product_Name,Category,Unit_Price
PROD-201,Wireless Mouse,Electronics,25.00
PROD-202,Ergonomic Chair,Furniture,250.00
PROD-203,Executive Desk,Furniture,450.00
PROD-204,Bluetooth Speaker,Electronics,60.00
PROD-205,Mechanical Keyboard,Technology,110.00
PROD-206,Paper Reams (10pk),Office Supplies,9.00
PROD-207,27-inch Monitor,Electronics,320.00
PROD-208,Standing Desk,furniture,550.00
PROD-209, Gel Pens (24pk) ,Office Supplies,6.00
PROD-210,Noise-Canceling Headphones,Electronics,220.00
PROD-211,USB-C Hub,Technology,22.50
PROD-212,Bookshelf,Furniture,90.00
PROD-213,Webcam 1080p,Electronics,85.00
PROD-214,Filing Cabinet,Office Supplies,160.00
PROD-215,Portable SSD 1TB,Technology,130.00
PROD-216,Desk Organizer,Office Supplies,15.00
